Date,Value,Meat Type,Country,Value Category
1964-01-01,49.9,Bovine meat,Ireland,0-50
1964-01-01,49.4,Adult cattle,Ireland,0-50
1964-01-01,0.5,Calf and young cattle,Ireland,0-50
1964-02-01,37.3,Adult cattle,Ireland,0-50
1964-02-01,0.5,Calf and young cattle,Ireland,0-50
1964-02-01,37.8,Bovine meat,Ireland,0-50
1964-03-01,0.5,Calf and young cattle,Ireland,0-50
1964-03-01,36.9,Bovine meat,Ireland,0-50
1964-03-01,36.4,Adult cattle,Ireland,0-50
1964-04-01,0.5,Calf and young cattle,Ireland,0-50
1964-04-01,36.3,Adult cattle,Ireland,0-50
1964-04-01,36.8,Bovine meat,Ireland,0-50
1964-05-01,0.5,Calf and young cattle,Ireland,0-50
1964-05-01,40.3,Adult cattle,Ireland,0-50
1964-05-01,40.8,Bovine meat,Ireland,0-50
1964-06-01,29.6,Bovine meat,Ireland,0-50
1964-06-01,29.1,Adult cattle,Ireland,0-50
1964-06-01,0.5,Calf and young cattle,Ireland,0-50
1964-07-01,0.5,Calf and young cattle,Ireland,0-50
1964-07-01,39.8,Bovine meat,Ireland,0-50
1964-07-01,39.3,Adult cattle,Ireland,0-50
1964-08-01,35.0,Bovine meat,Ireland,0-50
1964-08-01,0.5,Calf and young cattle,Ireland,0-50
1964-08-01,34.5,Adult cattle,Ireland,0-50
1964-09-01,40.7,Adult cattle,Ireland,0-50
1964-09-01,41.2,Bovine meat,Ireland,0-50
1964-09-01,0.5,Calf and young cattle,Ireland,0-50
1964-10-01,49.0,Bovine meat,Ireland,0-50
1964-10-01,48.5,Adult cattle,Ireland,0-50
1964-10-01,0.5,Calf and young cattle,Ireland,0-50
1964-11-01,48.5,Adult cattle,Ireland,0-50
1964-11-01,49.0,Bovine meat,Ireland,0-50
1964-11-01,0.5,Calf and young cattle,Ireland,0-50
1964-12-01,42.2,Bovine meat,Ireland,0-50
1964-12-01,41.7,Adult cattle,Ireland,0-50
1964-12-01,0.5,Calf and young cattle,Ireland,0-50
1965-01-01,50.9,Bovine meat,Ireland,50-100
1965-01-01,0.5,Calf and young cattle,Ireland,0-50
1965-01-01,50.4,Adult cattle,Ireland,50-100
1965-02-01,0.5,Calf and young cattle,Ireland,0-50
1965-02-01,37.3,Adult cattle,Ireland,0-50
1965-02-01,37.8,Bovine meat,Ireland,0-50
1965-03-01,36.9,Bovine meat,Ireland,0-50
1965-03-01,0.5,Calf and young cattle,Ireland,0-50
1965-03-01,36.4,Adult cattle,Ireland,0-50
1965-04-01,0.5,Calf and young cattle,Ireland,0-50
1965-04-01,37.8,Bovine meat,Ireland,0-50
1965-04-01,37.3,Adult cattle,Ireland,0-50
1965-05-01,40.3,Adult cattle,Ireland,0-50
1965-05-01,40.8,Bovine meat,Ireland,0-50
